Va,Vb,Vc,Ia,Ib,Ic,Fault
-274.2861978,149.5456187,124.7405791,0.196285228,0.069823666,-0.266108893,AB
-371.3078606,312.3348489,58.97301176,0.388692628,-0.119216404,-0.269476223,AB
-304.617013,311.8808735,-7.263860571,0.578977341,-0.308541469,-0.270435872,AB
-233.1888937,306.5663726,-73.37747895,0.759690147,-0.490697668,-0.268992479,AB
-159.9155849,298.6974351,-138.7818503,0.929097065,-0.663924942,-0.265172123,AB
-85.96578199,288.864558,-202.898776,1.085813339,-0.826791718,-0.259021621,AB
-12.21710993,277.3799959,-265.162886,1.228644572,-0.978036794,-0.250607778,AB
60.57654213,264.4500135,-325.0265557,1.356554564,-1.116538068,-0.240016496,AB
645.0509201,-263.0986047,-381.9523154,1.457009463,-1.22965746,-0.227352003,AB
941.9790692,-506.5160271,-435.4630421,1.383134016,-1.170395578,-0.212738438,AB
856.306978,-371.215093,-485.0918849,1.310274069,-1.113966291,-0.196307778,AB
764.0767089,-233.6790777,-530.3976311,1.254926157,-1.076715756,-0.178210402,AB
673.9642329,-102.9771154,-570.9871175,1.216166655,-1.057556773,-0.158609882,AB
587.9564671,18.55291306,-606.5093801,1.192151254,-1.054470205,-0.137681048,AB
506.8954134,129.7629769,-636.6583903,1.180785289,-1.065176881,-0.115608408,AB
431.1593892,230.0161325,-661.1755216,1.179897192,-1.087312645,-0.092584547,AB
36.10314592,643.7407468,-679.8438927,1.194693287,-1.125884598,-0.068808689,AB
-290.3061144,982.8228417,-692.5167273,1.343023433,-1.29853607,-0.044487363,AB
-124.4741365,823.570006,-699.0958695,1.468470594,-1.448646844,-0.01982375,AB
30.72217691,668.7939704,-699.5161473,1.546256775,-1.551230541,0.004973766,AB
159.9137267,533.8644899,-693.7782166,1.580534684,-1.610230786,0.029696102,AB
261.722689,420.2136843,-681.9363733,1.576932905,-1.631068645,0.05413574,AB
337.113122,326.9845686,-664.0976907,1.541179272,-1.619267547,0.078088275,AB
387.9119242,252.5090685,-640.4209927,1.47878018,-1.580134084,0.101353905,AB
621.8203263,-10.70973413,-611.1105922,1.390224682,-1.513963439,0.123738757,AB
894.6453359,-318.2156999,-576.4296359,1.182758157,-1.327812551,0.145054394,AB
619.1283753,-82.43505394,-536.6933214,0.99330994,-1.158436547,0.165126607,AB
367.0309138,125.2041772,-492.2350911,0.852343801,-1.036131973,0.183788171,AB
160.5639341,282.8793802,-443.4433143,0.751280025,-0.952162241,0.200882215,AB
-1.638199628,392.3825618,-390.7443622,0.680178627,-0.89644296,0.216264333,AB
-124.3487668,458.9472503,-334.5984836,0.629991165,-0.859794867,0.229803701,AB
-213.1489847,488.6448565,-275.4958718,0.592964867,-0.834348937,0.241384069,AB
-403.6622903,617.6117851,-213.9494948,0.565671175,-0.816575777,0.250904603,AB
-692.6719056,843.1708405,-150.4989349,0.621657085,-0.879936272,0.258279187,AB
-427.3004672,513.0117848,-85.71131764,0.645197113,-0.90864037,0.263443256,AB
-207.9987651,228.1371658,-20.13840078,0.604740624,-0.871088002,0.266347378,AB
-62.12275605,16.47718044,45.64557561,0.516375991,-0.783335272,0.266959281,AB
18.53457664,-129.5976353,111.0630587,0.397035694,-0.662301162,0.265265468,AB
46.28867591,-221.8276103,175.5389344,0.261229814,-0.522501376,0.261271562,AB
33.50959977,-272.0151379,238.5055381,0.120676498,-0.375678942,0.255002445,AB
73.79359715,-373.2030469,299.4094497,-0.017444678,-0.229057539,0.246502217,AB
243.7403206,-601.4526112,357.7122906,-0.209388867,-0.026443982,0.235832849,AB
-115.3377944,-297.5469788,412.8847732,-0.357629819,0.134550984,0.223078835,AB
-401.3392773,-63.11252245,464.4517998,-0.429238952,0.220897955,0.208340998,AB
-581.590465,69.63674397,511.9537211,-0.445519427,0.253782594,0.191736833,AB
-673.1186887,118.1539915,554.9646972,-0.427582468,0.254181314,0.173401154,AB
-697.0714544,103.9737465,593.0977079,-0.392033036,0.238547812,0.153485223,AB
-672.9432537,46.93509186,626.0081618,-0.350869253,0.218713633,0.13215562,AB
-669.354004,15.95576685,653.3982372,-0.310859258,0.201266335,0.109592923,AB
-803.5121089,128.4940169,675.0180919,-0.226592542,0.140603229,0.085989313,AB
-444.0570295,-246.5982829,690.6553124,-0.176130805,0.114579848,0.061550957,AB
-173.1563256,-527.020639,700.1769646,-0.190080839,0.153589185,0.036491654,AB
-27.37617124,-676.113113,703.4892842,-0.240564126,0.229532661,0.011031466,AB
22.07230279,-722.6247314,700.5524286,-0.301596844,0.316200519,-0.014603675,AB
7.024555143,-698.4071663,691.3826112,-0.354458832,0.394642806,-0.040183974,AB
-45.32046044,-630.7317685,676.0522289,-0.387275121,0.452753103,-0.065477981,AB
-80.67235872,-574.0177154,654.6900741,-0.394536423,0.484791298,-0.090254875,AB
34.75567179,-662.2358061,627.4801343,-0.413821582,0.52810907,-0.114287488,AB
-284.6840834,-309.9625061,594.6465896,-0.384883649,0.522235078,-0.137351429,AB
